feature,coefficient
gold_return_lag1,-0.00790117069430544
gld_return_lag1,0.006159571844240495
dxy_return,-0.00414380240337366
gdx_return_lag2,0.003555814361705632
gold_return_lag2,-0.003138309185873831
gdx_return_lag1,0.0023240487950552708
gvz_chg_lag1,-0.0011449177149247297
sp500_return,0.0009888991271980996
oil_return,0.0009145650447093293
breakeven_5y_change,0.0008223730476046065
silver_return_lag1,-0.0007290247009602213
silver_return_lag2,-0.0005733393530644259
hy_spread_change,0.0005401280271203138
real_yield_10y_change,-0.0004982068762351557
gld_return_lag2,0.00028919275521640446
gvz_chg_lag2,-0.00013993134246051466
vix_chg,-2.92489044856111e-05
