feature,coefficient
gold_return_lag1,-1.5315742903756118
gld_return_lag1,1.4012076420607897
dxy_return,-0.8337472613905764
gold_return_lag2,-0.5634861424236861
gdx_return_lag2,0.4913103949110625
gld_return_lag2,0.33647858750828286
real_yield_10y_change,-0.26225892814933316
oil_return,0.20682904479983333
breakeven_5y_change,0.17307171711237412
silver_return_lag2,-0.10530128132682086
hy_spread_change,-0.0856513669461241
sp500_return,0.08275859172248111
silver_return_lag1,-0.07996247474043962
gvz_chg_lag1,-0.07946383121718131
gdx_return_lag1,0.0761892128937059
vix_chg,-0.05023222184948683
gvz_chg_lag2,-0.02418556610893885
